Location,Diversity Index,African Americans,American Indian,Asian,Native Hawaiian,Two or More Races,Hispanic or Latino,White
"Aleutians West Census Area, AK",0.769346,7.4,13.8,31.1,2.3,4.8,14.6,29.2
"Queens County, NY",0.742224,20.9,1.3,25.2,0.2,2.7,28,26.7
"Maui County, HI",0.740757,0.8,0.6,28.8,10.6,23.3,10.7,31.5
"Alameda County, CA",0.740399,12.4,1.2,28.2,1,5.2,22.7,33.2
"Aleutians East Borough, AK",0.738867,7.7,21.8,41.4,0.7,3.7,13.5,12.9
"Hawaii County, HI",0.738772,0.8,0.6,22.1,12.7,29.5,12.2,30.7
"Fort Bend County, TX",0.736427,21.2,0.6,18.4,0.1,2,24,35.6
HAWAII,0.731461,2.3,0.4,37.7,10,23.1,9.8,23
"Kauai County, HI",0.730326,0.7,0.5,31.3,9.1,24.6,10.5,30.3
"Solano County, CA",0.725821,14.9,1.3,15.4,1,6.7,25.2,40
"Honolulu County, HI",0.71441,3,0.4,42.6,9.4,21.7,9.2,19.7
"Robeson County, NC",0.704067,24.7,39.5,0.7,0.1,2.5,8,26.8
"Gwinnett County, GA",0.702974,26.3,0.8,11.2,0.1,2.4,20.4,41.6
"Yakutat City and Borough, AK",0.698748,0.9,36.6,5.6,1.4,15.9,3.1,37.1
"Santa Clara County, CA",0.694312,2.9,1.4,34.1,0.5,4,26.8,33.9
"Kings County, NY",0.692349,35.4,1,11.7,0.1,2.3,19.6,36
"San Mateo County, CA",0.691029,3,0.9,26.9,1.6,4.4,25.4,41.1
"Manassas Park city, VA",0.690899,15,1.3,9.7,0.3,3.7,34.7,39.4
"Dallas County, TX",0.69039,23.1,1.1,5.7,0.1,1.7,39,31.7
"Montgomery County, MD",0.687803,18.6,0.7,14.9,0.1,3.1,18.3,47
"Sacramento County, CA",0.687281,10.8,1.6,15.4,1.2,5.9,22.3,47.3
"Contra Costa County, CA",0.686497,9.6,1,15.9,0.6,5,24.9,46.3
"Hoke County, NC",0.686301,34.1,9.6,1.5,0.4,4.1,12.2,41.4
